
誇張しすぎた麒麟の川島,こちょうしすぎたきりんのかわしま,43,112,15
誇張なしのバイキング西村,こちょうなしのばいきんぐにしむら,112,157,15
誇張しすぎたですよ。,こちょうしすぎたですよ。,157,221,15
誇張しすぎた高田延彦,こちょうしすぎたたかだのぶひこ,221,268,15
誇張しすぎた豊田議員,こちょうしすぎたとよだぎいん,268,315,15
誇張しすぎた松居一代,こちょうしすぎたまついかずよ,315,358,15
ファミコン 北斗の拳1の奥の道の入り方,ふぁみこんほくとのけん1のおくのみちのはいりかた,358,382,15
誇張しすぎた麒麟の川島,こちょうしすぎたきりんのかわしま,235,329,16
誇張しすぎたですよ。,こちょうしすぎたですよ。,329,397,16
AMEMIYA,あめみや,397,420,16
誇張しすぎた美川憲一,こちょうしすぎたみかわけんいち,420,441,16
せっかく芸人を呼んだのに全すべりしてもりあがらなかった営業担当者の怒ったありがとうございました,せっかくげいにんをよんだのにぜんすべりしてもりあがらなかったえいぎょうたんとうしゃのおこったありがとうございました,441,474,16
やしろ優,やしろゆう,13,45,17
やりつくされた柴田恭平のまねをあえてやる,やりつくされたしばたきょうへいのまねをあえてやる,45,100,17
デヴィ夫人,でヴぃふじん,100,125,17
ファイナルアンサーからのみのもんたのため,ふぁいなるあんさーからのみのもんたのため,125,150,17
誇張しすぎた木村拓哉,こちょうしすぎたきむらたくや,150,177,17
やりつくされた長渕剛のまねをあえてやる,やりつくされたながぶちつよしのまねをあえてやる,177,206,17
川村隆一,かわむらりゅういち,206,225,17
今でしょのスーパー誇張,いまでしょのすーぱーこちょう,225,241,17
誇張しすぎたPPAP,こちょうしすぎたPPAP,177,236,18
柳原可奈子,やなぎはらかなこ,236,284,18
AMEMIYA,あめみや,284,330,18
誇張しすぎた豊田議員,こちょうしすぎたとよだぎいん,330,377,18
誇張しすぎた松居一代,こちょうしすぎたまついかずよ,377,421,18
バイきんぐ,ばいきんぐ,421,452,18
コロチキナダル,ころちきなだる,452,501,18
ファミコン 北斗の拳1の奥の道の入り方,ふぁみこんほくとのけんいちのおくのみちのはいりかた,501,551,18
インポッシブル,いんぽっしぶる,551,568,18
ファミコン マッピーのパワードア,ふぁみこんまっぴーのぱわーどあ,568,592,18
誇張しすぎたカミナリ,こちょうしすぎたかみなり,592,620,18
誇張しすぎた井上陽水,こちょうしすぎたいのうえようすい,620,661,18
まるハゲ～って言われた時のモト冬木,まるはげ～っていわれたときのもとふゆき,661,682,18
営業全すべりで怒りながら挨拶した担当者のありがとうございました,えいぎょうぜんすべりでおこりながらあいさつしたたんとうしゃのありがとうございました,682,720,18
今のですよ。,いまのですよ。,720,750,18
誇張しすぎた美川憲一,こちょうしすぎたみかわけんいち,272,302,19
誇張しすぎた高田順次,こちょうしすぎたたかだじゅんじ,302,339,19
誇張しすぎたMr.マリック,こちょうしすぎたみすたーまりっく,339,385,19
誇張しすぎたおばたのお兄さん,こちょうしすぎたおばたのおにいさん,385,428,19
語尾が「ね」の越中詩郎,ごびが「ね」のこしなかしろう,428,480,19
永田裕二のすべる白目,ながたゆうじのすべるしろめ,480,505,19
ライガーvs佐山,らいがーvsさやま,505,594,19
IKKO,IKKO,594,623,19
誇張しすぎた高田延彦,こちょうしすぎたたかだのぶひこ,623,702,19
ストⅡダルシムの死ぬところ,すと2だるしむのしぬところ,702,734,19
ファミコン 麻雀のチョンボ,ふぁみこんまーじゃんのちょんぼ,734,764,19
ファミコン 東海道五十三次の死ぬところ,ふぁみこんとうかいどうごじゅうさんつぎのしぬところ,764,790,19
ファミコン ゴルフの1WとPw,ふぁみこんごるふの1WとPw,790,842,19
神無月の武藤敬司,かんなづきのむとうけいじ,842,872,19
志村けんの淡々とした司会,しむらけんのたんたんとしたしかい,872,910,19
チャーハンのCMの吾郎丸,ちゃーはんのしーえむのごろうまる,910,939,19
みかん,みかん,97,145,20
あぁもうでてこんでいいよっていうババアのまね,あぁもうでてこんでいいよっていうばばあのまね,145,179,20
やばいサラリーマン,やばいさらりーまん,179,202,20
今でしょのスーパー誇張,いまでしょのすーぱーこちょう,202,229,20
ASKA,ASKA,229,250,20
誇張しすぎた野々村議員,こちょうしすぎたののむらぎいん,250,305,20
ハズキルーペCMの渡辺謙,はずきるーぺしーえむのわたなべけん,17,88,21
誇張なしのバイキング西村,こちょうなしのばいきんぐにしむら,88,122,21
誇張しすぎた麒麟の川島,こちょうしすぎたきりんのかわしま,122,162,21
IKKO,IKKO,162,214,21
誇張しすぎたですよ。,こちょうしすぎたですよ。,214,276,21
せっかく芸人を呼んだのに全すべりしてもりあがらなかった営業担当者の怒ったありがとうございました,せっかくげいにんをよんだのにぜんすべりしてもりあがらなかったえいぎょうたんとうしゃのおこったありがとうございました,276,314,21
悟空,ごくう,314,352,21
ファミコン 魔界村の死ぬところ,ふぁみこんまかいむらのしぬところ,352,374,21
ファミコン 北斗の拳1奥の道の入り方,ふぁみこんほくとのけん1おくのみちのはいりかた,374,389,21
川平慈英,かわひらじえい,375,440,22
松浦あやのまねをしているミラクルひかる,まつうらあやのまねをしているみらくるひかる,440,561,22
やりつくされた千昌夫のまねをあえてやる,やりつくされたせんまさおのまねをあえてやる,561,643,22
遠野なぎこの顔マネ,とおのなぎこのかおまね,643,695,22
村田英雄のまねをする清水アキラ,むらたひでおのまねをするしみずあきら,695,770,22
